"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","165/4141","434/18860",0.380184331797235,1.73153260026463,8.17778727264896,1.26036587158178e-14,7.88989035610197e-11,6.90680497626818e-11,"ABRAXAS1/ACTB/AGO4/AKAP8/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANKRD31/APC/ARHGEF10/ARID1B/ATM/AURKA/BAG6/BCCIP/BCL7A/BCL7B/BUB3/CCDC86/CCNB1/CCNE2/CCSAP/CDC42/CDC6/CDK1/CDT1/CENATAC/CENPF/CENPN/CENPO/CENPT/CENPU/CEP192/CEP63/CEP85/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/CSNK2A2/CTCF/CUL3/DDX3X/DPF2/DSN1/DYNC1H1/EHMT2/EML4/ERCC2/FBXO30/FBXO5/FLNA/GEN1/GPSM2/GTF2B/HASPIN/HAUS3/HAUS6/HECW2/HNRNPU/HORMAD1/KASH5/KIF11/KIF2A/KIF3B/KLHL22/KNL1/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MAP1S/MAP3K20/MAPRE2/MAPRE3/MCMDC2/MIS12/MIS18A/MKI67/MLH1/MLH3/MMS19/MND1/MSH4/MSH5/MYBL2/NAA60/NCAPD3/NCAPH/NDC1/NDEL1/NEK6/NIPBL/NSMCE2/NTMT1/NUMA1/NUP62/PLSCR1/PPP2R2D/PRC1/PRDM9/PUM2/RAB24/RAD18/RAD21/RAD21L1/RAN/RCC1/RCC2/RECQL5/RHOA/RIOK2/RMDN1/RNF212/RNF4/SEH1L/SIRT7/SKA1/SKA3/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SMC5/SMC6/SPATA22/SPC24/SPDL1/SPICE1/SPO11/SRPK1/STAG1/STAG2/STAG3/SYCE1/SYCE2/SYCP2/TENT4A/TEX15/TLK1/TOP1/TUBB/TUBB8/TUBG1/TUBG2/TUBGCP3/TUBGCP4/TUBGCP5/TUBGCP6/UBE2I/UHRF1/VPS4B/WAPL/WASHC5/ZCWPW1/ZWINT",165
"GO:0000280","GO:0000280","nuclear division","161/4141","453/18860",0.355408388520971,1.61869167049155,7.06975977109345,1.6180871189685e-11,5.06461268237139e-08,4.43355870597368e-08,"ABRAXAS1/AGO4/AKAP8/ANAPC11/ANAPC7/ANKRD31/ANLN/APC/ARHGEF10/ASZ1/ATM/AURKA/BAG6/BCCIP/BMP7/BRME1/BROX/BUB3/CCDC86/CCNB1/CCNE2/CCSAP/CDC14A/CDC14B/CDC25B/CDC25C/CDC42/CDK1/CDKN1B/CDT1/CENPF/CEP192/CEP85/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CKS2/CLASP1/CUL3/DAPK3/DMRT1/EDN3/EHMT2/EML4/EPS8/ERCC4/FANCA/FBXO5/FBXW5/FIGNL1/FLNA/FZR1/GEN1/HASPIN/HFM1/HNRNPU/HORMAD1/HSF1/HSF2BP/IGF2/ING2/KASH5/KCTD19/KIF11/KIF2A/KIF3B/KLHL22/KNL1/L3MBTL1/LIF/LRP5/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MCMDC2/MEI1/MEIOSIN/MIS12/MKI67/MLH1/MLH3/MND1/MOV10L1/MSH4/MSH5/MUS81/MYBL2/NCAPD3/NCAPH/NDC1/NDEL1/NEUROG1/NFIB/NIPBL/NSMCE2/NUMA1/NUP62/PDXP/PKMYT1/PPP2R2D/PRC1/PRDM9/PSMA8/RAB24/RAD21/RAD51AP1/RAD54B/RAN/RANBP1/RCC1/REEP3/RHOA/RMDN1/RMI1/RNF212/RPL10L/SEH1L/SIRT7/SKA1/SKA3/SLC25A31/SLX4/SMARCA5/SMC4/SPAST/SPATA22/SPC24/SPDL1/SPICE1/SPIRE2/SPO11/STAG1/STAG2/STAG3/SYCE1/SYCE2/SYCP2/TENT4A/TEX15/TOP6BL/TUBB8/TUBG1/TUBG2/UBB/UBE2I/UBE2S/UHRF1/VPS4B/WAPL/WASHC5/WNT4/ZCWPW1/ZNF541/ZWINT",161
"GO:0098813","GO:0098813","nuclear chromosome segregation","122/4141","323/18860",0.377708978328173,1.72025871317782,6.92536790351883,5.88116702696253e-11,1.19025355292547e-07,1.04194719968555e-07,"ABRAXAS1/ACTB/AGO4/AKAP8/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANKRD31/APC/ARHGEF10/ARID1B/ATM/AURKA/BAG6/BCCIP/BCL7A/BCL7B/BUB3/CCNB1/CCNE2/CCSAP/CDC42/CDC6/CDK1/CDT1/CENPF/CEP192/CHFR/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/CUL3/DPF2/DSN1/DYNC1H1/EHMT2/EML4/FBXO5/FLNA/GEN1/HASPIN/HECW2/HNRNPU/HORMAD1/KASH5/KIF11/KIF2A/KIF3B/KLHL22/KNL1/M1AP/MAD1L1/MAD2L1/MAEL/MAJIN/MAP1S/MAP3K20/MCMDC2/MIS12/MLH1/MLH3/MND1/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NDC1/NEK6/NIPBL/NSMCE2/NUMA1/NUP62/PRC1/PRDM9/RAB24/RAD21/RAN/RCC1/RCC2/RHOA/RIOK2/RMDN1/RNF212/SEH1L/SIRT7/SKA1/SKA3/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SPATA22/SPC24/SPDL1/SPICE1/SPO11/STAG1/STAG2/STAG3/SYCE1/SYCE2/SYCP2/TENT4A/TEX15/TUBB8/TUBG1/TUBG2/UHRF1/VPS4B/WAPL/WASHC5/ZCWPW1/ZWINT",122
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","161/4141","461/18860",0.349240780911063,1.59060157642662,6.80958660565316,7.6054540123033e-11,1.19025355292547e-07,1.04194719968555e-07,"ABRAXAS1/ACTB/ACVR1B/AKT1/ANAPC1/ANAPC11/ANAPC2/ANAPC7/ANLN/APC/APPL2/ARID1B/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BRSK2/BUB3/CACNB4/CACUL1/CALM3/CCNB1/CCND1/CCND3/CCNE2/CCNF/CCNH/CCNI/CCNJL/CCNP/CDC14A/CDC14B/CDC25B/CDC25C/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN1B/CDKN2A/CDKN2C/CENPF/CHFR/CHMP2A/CHMP7/CKS2/CLASP1/CPSF3/CUL2/CUL3/CUL4A/DACT1/DDX3X/DNM2/DPF2/DTL/E2F1/E2F7/EGFR/EIF4EBP1/EPS8/ERCC2/EZH2/FBXL15/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/GSPT1/HASPIN/HECW2/ID2/INHBA/INTS3/KANK2/KCNH5/KDM8/KHDRBS1/KLF4/KLHL22/KNL1/LSM11/MAD1L1/MAD2L1/MAP3K20/MARK3/MEPCE/MIR372/MRNIP/MYB/NABP2/NAE1/NEK6/NEUROG1/NFIB/NSMCE2/PABIR1/PIAS1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/POLE/PPM1D/PPME1/PPP2CA/PPP2R2D/PPP6C/PRKDC/PRMT2/RAD21/RBBP8/RBL2/RBX1/RCC1/RCC2/RIOK2/SENP2/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMC5/SPAST/SPC24/SPDL1/TAOK1/TAOK2/TCF3/TFDP1/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/TRIM71/UBE2E2/UBE2S/UIMC1/USP37/USP38/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",161
"GO:0006302","GO:0006302","double-strand break repair","123/4141","334/18860",0.368263473053892,1.67723958024545,6.62365232468461,3.22959750499978e-10,4.04345607625972e-07,3.53963886547976e-07,"ABL1/ABRAXAS1/ACTB/ACTR8/AP5S1/APLF/ARID1B/ATM/BABAM2/BCL7A/BCL7B/BRME1/C1QBP/CDC45/CDC7/CHD4/CSNK2A2/DDX11/DEK/DNA2/DPF2/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HMGA2/HSF1/HSF2BP/HTATSF1/INTS3/KASH5/KDM2A/KMT5C/LIG3/LIG4/MAGEF1/MAJIN/MBTD1/MCM2/MCM3/MCM4/MCM6/MCMDC2/MEAF6/MLH1/MMS22L/MORF4L1/MRGBP/MRNIP/MUS81/NABP2/NHEJ1/NIPBL/NSMCE2/NSMCE3/NSMCE4A/OGG1/PALB2/PARP1/PARP2/PARP3/PIAS1/PIAS4/PML/POGZ/POLA1/POLN/PPP4R2/PPP5C/PRDM9/PRKDC/RAD21/RAD21L1/RAD51AP1/RAD54B/RBBP8/RECQL4/RECQL5/REV3L/RMI1/RNF126/RPA1/RTEL1/RUVBL1/SAMHD1/SENP3/SETMAR/SETX/SFR1/SHLD2/SIRT6/SLX4/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMC5/SMC6/SMCHD1/SPIRE2/SPO11/TDP1/TDP2/TENT4A/TEX15/TIMELESS/TWIST1/UBE2V2/UBQLN4/UHRF1/UIMC1/XRCC1/XRCC2/YEATS4/YY1/ZCWPW1/ZGRF1",123
"GO:0033119","GO:0033119","negative regulation of RNA splicing","21/4141","27/18860",0.777777777777778,3.54235423542354,7.01182363552013,1.04151190779269e-09,1.08664409046371e-06,9.5124754245066e-07,"ACIN1/C1QBP/CELF4/DYRK1A/HNRNPK/NPM1/PTBP1/PTBP2/PTBP3/RBM10/RBM42/RBMX/RNPS1/SAP18/SRSF10/SRSF12/SRSF4/SRSF6/SRSF9/TMBIM6/U2AF2",21
"GO:0007098","GO:0007098","centrosome cycle","66/4141","150/18860",0.44,2.0039603960396,6.54784077195223,1.29486278591666e-09,1.15797729140547e-06,1.01369258097475e-06,"ARHGEF10/ATF5/AURKA/BNIP2/BRSK1/C2CD3/CCDC102B/CCNF/CDK1/CDK11A/CDK11B/CENATAC/CEP120/CEP192/CEP250/CEP295/CEP44/CEP63/CEP68/CEP72/CEP85/CHD3/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/CNTLN/CNTROB/CROCC/DCTN1/DEUP1/DNM2/FBXW5/GADD45A/GEN1/HAUS3/HAUS6/KIF11/KIF3A/KIF3B/MDM1/NAT10/NDEL1/NPM1/NUBP1/NUP62/ODF2/PARD6B/PARD6G/PDCD6IP/PDE4DIP/PKD2/PLK4/POC1A/PPP1R12A/RANBP1/RBM14/SLC16A1/SPICE1/SSX2IP/TRIM37/UXT/VPS4B/XRCC2",66
"GO:0048025","GO:0048025","negative regulation of mRNA splicing, via spliceosome","18/4141","22/18860",0.818181818181818,3.72637263726373,6.78659529026957,3.95104208664162e-09,3.09169043279707e-06,2.70646382934951e-06,"ACIN1/C1QBP/CELF4/DYRK1A/HNRNPK/NPM1/PTBP1/RBM10/RBM42/RBMX/RNPS1/SAP18/SRSF10/SRSF12/SRSF4/SRSF6/SRSF9/U2AF2",18
"GO:0008380","GO:0008380","RNA splicing","162/4141","490/18860",0.330612244897959,1.50575873913922,6.01671791233625,6.31899063185908e-09,4.39520903949309e-06,3.84756318473197e-06,"ACIN1/AKAP17A/ALYREF/ARMC7/ATXN7L3/C1QBP/CDC5L/CDK11A/CDK11B/CELF4/CENATAC/CIRBP/CLASRP/CLK1/COIL/CRIPT/DAZAP1/DCPS/DDX39A/DDX39B/DDX42/DHX15/DHX38/DHX8/DHX9/DNAJC17/DYRK1A/ERN1/ESRP2/ESS2/FAM98A/FMR1/FUS/GEMIN2/GEMIN4/GPATCH8/HABP4/HNRNPA1/HNRNPA3/HNRNPF/HNRNPH1/HNRNPH2/HNRNPH3/HNRNPK/HNRNPL/HNRNPM/HNRNPR/HNRNPU/HNRNPUL2/HTATSF1/ILF3/INTS15/IWS1/KHDRBS1/KHDRBS3/KHSRP/LARP7/LSM1/LSM2/LSM4/LSM7/LSM8/LUC7L/LUC7L2/MBNL1/MPHOSPH10/NCL/NOVA1/NPM1/PABPC1/PAXBP1/PDCD7/PLRG1/POLR2A/PPP4R2/PRPF40A/PRPF6/PRPF8/PTBP1/PTBP2/PTBP3/PUS7/QKI/RBFOX1/RBM10/RBM12/RBM12B/RBM14/RBM15B/RBM17/RBM19/RBM23/RBM42/RBMX/RBMX2/RNPS1/RNU6ATAC/RRP1B/RSRP1/RTCB/SAP18/SART1/SCAF1/SCAF11/SETX/SF1/SF3A2/SF3B1/SGF29/SNRNP25/SNRNP70/SNRPD2/SNRPN/SNW1/SREK1/SRPK1/SRPK2/SRRM2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF4/SRSF5/SRSF6/SRSF9/STRAP/SUGP2/SUPT3H/SUPT7L/SYNCRIP/TADA2B/TAF12/TAF12-DT/TAF5L/THOC3/THOC6/TIA1/TMBIM6/TRA2A/TSEN15/TSEN2/TSEN34/TSEN54/TSSC4/TXNL4A/TXNL4B/U2AF1L4/U2AF2/UBL5/UPF1/USP39/USP49/WTAP/YBX1/YJU2B/YTHDC1/ZC3H14/ZMAT2/ZMAT5/ZNF638/ZRSR2",162
"GO:0031023","GO:0031023","microtubule organizing center organization","68/4141","163/18860",0.417177914110429,1.90001822268116,6.12113466008527,1.07272207952604e-08,6.13589733965568e-06,5.3713606104334e-06,"ARHGEF10/ATF5/AURKA/BNIP2/BRSK1/C2CD3/CCDC102B/CCNF/CDK1/CDK11A/CDK11B/CENATAC/CEP120/CEP192/CEP250/CEP295/CEP44/CEP63/CEP68/CEP72/CEP85/CHD3/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/CLASP1/CNTLN/CNTROB/CROCC/DCTN1/DEUP1/DNM2/FBXW5/GADD45A/GEN1/HAUS3/HAUS6/KIF11/KIF3A/KIF3B/MDM1/NAT10/NDEL1/NPM1/NUBP1/NUP62/ODF2/PAFAH1B1/PARD6B/PARD6G/PDCD6IP/PDE4DIP/PKD2/PLK4/POC1A/PPP1R12A/RANBP1/RBM14/SLC16A1/SPICE1/SSX2IP/TRIM37/UXT/VPS4B/XRCC2",68
"GO:0007051","GO:0007051","spindle organization","82/4141","209/18860",0.392344497607655,1.78691553365863,6.06768453376091,1.07819282326218e-08,6.13589733965568e-06,5.3713606104334e-06,"ABRAXAS1/AFG2B/ARHGEF10/AURKA/BCCIP/CCNB1/CCSAP/CEP120/CEP192/CEP63/CEP72/CHD3/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/DCTN1/DCTN6/DYNC1H1/EFHC1/EML1/FAM110A/FBXO5/FLNA/FSD1/GNAI1/GPSM2/GTF2B/HAUS3/HAUS6/HNRNPU/INTS13/KASH5/KIF11/KIF2A/KIF3B/MAP1S/MAPRE2/MAPRE3/MLH1/MYBL2/NEK6/NTMT1/NUMA1/NUP62/PARP3/PCNT/PDE4DIP/PKD1/PLK3/POC1A/PRC1/PTPA/RAE1/RAN/RCC1/RHOA/RMDN1/RNF4/SKA1/SKA3/SPAST/SPICE1/STAG1/STAG2/TACC1/TPPP/TUBB/TUBB8/TUBG1/TUBG2/TUBGCP3/TUBGCP4/TUBGCP5/TUBGCP6/UHRF1/VPS4B/WASHC5",82
"GO:0050686","GO:0050686","negative regulation of mRNA processing","18/4141","23/18860",0.782608695652174,3.56435643564356,6.5269341671259,1.44176996801336e-08,7.52123333313636e-06,6.58408285392768e-06,"ACIN1/C1QBP/CELF4/DYRK1A/HNRNPK/NPM1/PTBP1/RBM10/RBM42/RBMX/RNPS1/SAP18/SRSF10/SRSF12/SRSF4/SRSF6/SRSF9/U2AF2",18
"GO:0000725","GO:0000725","recombinational repair","79/4141","201/18860",0.393034825870647,1.79005960297522,5.97291721449781,1.81422961580048e-08,8.73621338070076e-06,7.64767561122047e-06,"ABL1/ACTB/AP5S1/ATM/C1QBP/CDC45/CDC7/CHD4/CTBP1-DT/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HTATSF1/INTS3/KASH5/LIG3/MAGEF1/MBTD1/MCM2/MCM3/MCM4/MCM6/MCMDC2/MEAF6/MMS22L/MORF4L1/MRGBP/MRNIP/MUS81/NABP2/NIPBL/NSMCE2/NSMCE3/NSMCE4A/PALB2/PARP1/PIAS1/PIAS4/POGZ/POLN/PPP4R2/PRKDC/RAD21/RAD21L1/RAD51AP1/RAD54B/RBBP8/RECQL4/RECQL5/REV3L/RMI1/RNF126/RPA1/RTEL1/RUVBL1/SAMHD1/SENP3/SFR1/SHLD2/SIRT6/SLX4/SMC5/SMC6/SMCHD1/TEX15/TIMELESS/UBQLN4/UHRF1/XRCC2/YEATS4/YY1/ZGRF1",79
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","77/4141","195/18860",0.394871794871795,1.7984259964458,5.94443757051933,2.15777406007665e-08,9.64833258291416e-06,8.44614417801431e-06,"ABL1/ACTB/AP5S1/ATM/C1QBP/CDC45/CDC7/CHD4/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HTATSF1/INTS3/KASH5/LIG3/MAGEF1/MBTD1/MCM2/MCM3/MCM4/MCM6/MCMDC2/MEAF6/MMS22L/MORF4L1/MRGBP/MRNIP/MUS81/NABP2/NIPBL/NSMCE2/NSMCE3/NSMCE4A/PALB2/PARP1/PIAS1/PIAS4/POGZ/POLN/PPP4R2/PRKDC/RAD21/RAD21L1/RAD51AP1/RAD54B/RBBP8/RECQL4/RECQL5/REV3L/RMI1/RNF126/RPA1/RTEL1/RUVBL1/SAMHD1/SENP3/SFR1/SHLD2/SIRT6/SLX4/SMC5/SMC6/SMCHD1/TEX15/TIMELESS/UBQLN4/UHRF1/XRCC2/YEATS4/YY1",77
"GO:0043484","GO:0043484","regulation of RNA splicing","76/4141","192/18860",0.395833333333333,1.80280528052805,5.93041016535529,2.35069073778076e-08,9.81021601233836e-06,8.58785682869237e-06,"ACIN1/AKAP17A/ATXN7L3/C1QBP/CDK11A/CDK11B/CELF4/CIRBP/CLK1/DAZAP1/DYRK1A/ERN1/ESRP2/FMR1/FUS/HABP4/HNRNPA1/HNRNPF/HNRNPH1/HNRNPH2/HNRNPH3/HNRNPK/HNRNPL/HNRNPU/KHDRBS1/KHDRBS3/LARP7/MBNL1/NCL/NOVA1/NPM1/POLR2A/PTBP1/PTBP2/PTBP3/QKI/RBFOX1/RBM10/RBM12/RBM12B/RBM14/RBM15B/RBM19/RBM23/RBM42/RBMX/RNPS1/RRP1B/SAP18/SETX/SGF29/SNRNP70/SNW1/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF4/SRSF5/SRSF6/SRSF9/SUPT3H/SUPT7L/TADA2B/TAF12/TAF5L/TIA1/TMBIM6/TRA2A/U2AF2/UPF1/WTAP/YTHDC1/ZNF638",76
"GO:0050684","GO:0050684","regulation of mRNA processing","59/4141","139/18860",0.424460431654676,1.93318612436783,5.85711760018174,4.68682609855634e-08,1.83372071106017e-05,1.60523793875555e-05,"ACIN1/ALKBH5/C1QBP/CCNB1/CDC73/CDK11A/CDK11B/CELF4/CIRBP/DAZAP1/DHX9/DYRK1A/FMR1/HDAC7/HNRNPA1/HNRNPK/HNRNPL/HNRNPU/IWS1/KHDRBS1/KHDRBS3/LARP7/NCL/NOVA1/NPM1/PTBP1/QKI/RBFOX1/RBM10/RBM14/RBM15B/RBM19/RBM23/RBM42/RBMX/RNPS1/SAFB/SAFB2/SAP18/SLTM/SNRNP70/SNW1/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF4/SRSF5/SRSF6/SRSF9/TIA1/TRA2A/U2AF2/UPF1/WTAP/YTHDC1/ZFP36L1",59
"GO:0051052","GO:0051052","regulation of DNA metabolic process","160/4141","497/18860",0.321931589537223,1.46622308106062,5.58692627199251,5.84429374311085e-08,2.09808832938662e-05,1.83666518291353e-05,"ABL1/ABRAXAS1/ACD/ACTB/ACTR8/AKT1/ANKRD31/APLF/ARID1B/ATM/ATXN7L3/BABAM2/BCL7A/BCL7B/C1QBP/CAMSAP3/CCT3/CCT5/CDC6/CDC7/CDK1/CDKN1B/CDT1/CHRAC1/CHTF18/CHTF8/CUL4A/DDX11/DEK/DFFB/DHX9/DKC1/DNA2/DPF2/DYNLL1/E2F7/EGFR/EHMT2/ENDOG/EPC1/EPC2/ERCC2/ERCC4/ERCC6/ESCO1/EXOSC6/FBXO5/FIGNL1/FUS/GMNN/H1-2/H1-5/H2AX/HMGA2/HNRNPA1/HNRNPU/HSF1/HSP90AA1/ING5/INO80C/INO80E/KAT7/KCTD13/KLF4/KMT5C/LIG3/MAGEF1/MAP2K7/MBTD1/MCM2/MCM3/MCM4/MCM6/MEAF6/MLH1/MORF4L1/MRGBP/MRNIP/NABP2/NAF1/NAT10/NSMCE2/NSMCE3/NSMCE4A/OGG1/PARN/PARP1/PARP3/PAXIP1/PCNA/PIAS4/PKIB/PML/PMS2/POLG2/POLH/PPP1R10/PPP4R2/PRDM9/PRKDC/PTGES3/PTK6/RAD51AP1/RECQL5/RFC3/RIOX1/RNF126/RTEL1/RUVBL1/SENP2/SENP3/SETMAR/SGF29/SHLD2/SIRT6/SIRT7/SLX4/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC5/SMC6/SMCHD1/SMG6/SPIRE2/SUPT3H/SUPT7L/SUV39H1/TADA2B/TAF12/TAF4/TAF5/TAF5L/TAF6/TAF7/TEX15/TFDP1/TFRC/TIGAR/TIMELESS/TNKS2/TRIM28/TWIST1/UBE2V1/UBE2V2/UBQLN4/UIMC1/UPF1/USP1/USP37/VEGFA/WAPL/WRNIP1/XRCC1/YEATS4/YLPM1/YY1/ZCWPW1",160
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","122/4141","357/18860",0.341736694677871,1.55642455001803,5.62978889128405,6.03284184168676e-08,2.09808832938662e-05,1.83666518291353e-05,"ABRAXAS1/ACTB/AKT1/ANAPC11/ANAPC7/ANLN/APC/APPL2/ARID1B/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BUB3/CACNB4/CCNB1/CCND1/CCND3/CCNE2/CCNH/CDC14A/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN1B/CDKN2A/CDKN2C/CENPF/CHFR/CPSF3/CUL3/CUL4A/DACT1/DDX3X/DPF2/DTL/E2F1/E2F7/EGFR/ERCC2/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/HASPIN/HECW2/ID2/INHBA/INTS3/KANK2/KCNH5/KLF4/KLHL22/KNL1/LSM11/MAD1L1/MAD2L1/MAP3K20/MARK3/MEPCE/MIR372/MRNIP/NABP2/NAE1/NEK6/NEUROG1/NSMCE2/PABIR1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/PPP2CA/PRKDC/PRMT2/RAD21/RBBP8/RBL2/RCC2/RIOK2/SENP2/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPC24/SPDL1/TAOK1/TAOK2/TCF3/TFDP1/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/UBE2E2/UIMC1/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",122
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","152/4141","468/18860",0.324786324786325,1.47922484556148,5.5682735993811,6.69799016317246e-08,2.20681149586629e-05,1.93184137337816e-05,"ABRAXAS1/ACTB/AKT1/ANAPC11/ANAPC7/ANLN/APBB2/APC/APPL2/ARID1B/ATF5/ATM/AURKA/BABAM2/BCL7A/BCL7B/BID/BRD4/BRSK1/BUB3/CACNB4/CAMSAP3/CCNB1/CCND1/CCND3/CCNE2/CCNH/CCNQ/CDC14A/CDC14B/CDC25B/CDC25C/CDC45/CDC5L/CDC6/CDC7/CDC73/CDK1/CDK10/CDK16/CDK17/CDK2AP2/CDKN1B/CDKN2A/CDKN2C/CDT1/CENPF/CEP63/CHFR/CLOCK/CPSF3/CRY1/CUL3/CUL4A/DACT1/DDRGK1/DDX3X/DNA2/DPF2/DTL/E2F1/E2F7/EGFR/ERCC2/ERCC6/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/GNB1L/H2AX/HASPIN/HECW2/HORMAD1/ID2/INHBA/INTS3/INTS7/KANK2/KCNH5/KLF4/KLHL22/KNL1/LSM11/MAD1L1/MAD2L1/MAP3K20/MARK3/MEPCE/MIR372/MRNIP/MUS81/NABP2/NAE1/NEK6/NEUROG1/NPM1/NSMCE2/NSUN2/PABIR1/PAXIP1/PKD1/PKD2/PKMYT1/PLK3/PLRG1/PPP1R10/PPP2CA/PRKDC/PRMT2/RAD21/RAD9A/RASSF1/RBBP8/RBL2/RCC2/RIOK2/SENP2/SETMAR/SIX3/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPC24/SPDL1/TAOK1/TAOK2/TCF3/TELO2/TFDP1/TIMELESS/TMEM14B/TMOD3/TPRA1/TRIAP1/TRIM39/UBE2E2/UIMC1/VPS4B/WAC/WNT10B/ZFP36L1/ZFYVE19/ZWINT",152
"GO:0006310","GO:0006310","DNA recombination","122/4141","358/18860",0.340782122905028,1.55207699540904,5.59377017071253,7.19712019681592e-08,2.25269862160338e-05,1.97201093392756e-05,"ABL1/ACTB/ACTR8/ANKRD31/AP5S1/APEX2/APLF/ATM/BCL11B/BRME1/C1QBP/CDC45/CDC7/CHD4/CTBP1-DT/DCAF1/DYRK1A/ENDOG/EPC1/EPC2/ERCC2/ERCC4/ERCC6/EXOSC6/FAN1/FIGNL1/FUS/GEN1/H1-2/H1-5/H2AX/HFM1/HSF2BP/HSPD1/HTATSF1/INO80C/INO80E/INTS3/KASH5/KIN/KMT5C/LEF1/LIG3/LIG4/MAGEF1/MAJIN/MBTD1/MCM2/MCM3/MCM4/MCM6/MCMDC2/MEAF6/MLH1/MLH3/MMS22L/MND1/MORF4L1/MRGBP/MRNIP/MSH4/MSH5/MUS81/NABP2/NFKBIZ/NHEJ1/NIPBL/NSMCE2/NSMCE3/NSMCE4A/PALB2/PARP1/PARP3/PAXIP1/PGBD5/PIAS1/PIAS4/PMS2/POGZ/POLN/PPP4R2/PRDM9/PRKDC/RAD21/RAD21L1/RAD51AP1/RAD54B/RBBP8/RECQL4/RECQL5/REV3L/RMI1/RNF126/RNF212/RPA1/RTEL1/RUVBL1/SAMHD1/SANBR/SENP3/SETX/SFR1/SHLD2/SIRT6/SLX4/SMC5/SMC6/SMCHD1/SPO11/TCF3/TEX15/TFRC/TIMELESS/TOP6BL/UBQLN4/UHRF1/XRCC1/XRCC2/YEATS4/YY1/ZCWPW1/ZGRF1",122
